stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
950220,2026-08-21,2850.0,0.2984,0.8375,1.2042,2006.4,1544.9,4.3975,0.0968,5,strong_price_momentum,pykrx,data/raw/price_950220_20260425_20260823.csv
290560,2026-08-21,1362.0,0.2996,0.3172,0.253,1086.4,991.45,8.8893,0.1082,5,strong_price_momentum,pykrx,data/raw/price_290560_20260425_20260823.csv
302430,2026-08-21,6650.0,0.2988,0.196,0.1545,5520.0,5166.0,14.6064,0.086,5,strong_price_momentum,pykrx,data/raw/price_302430_20260425_20260823.csv
000760,2026-08-21,14000.0,0.0401,0.1138,0.1447,13096.0,12843.5,3.6637,0.0414,5,strong_price_momentum,pykrx,data/raw/price_000760_20260425_20260823.csv
084870,2026-08-21,2390.0,0.1168,0.0989,0.2625,2215.0,2073.95,3.6011,0.0324,5,strong_price_momentum,pykrx,data/raw/price_084870_20260425_20260823.csv
352940,2026-08-21,2080.0,-0.0048,0.0374,0.0323,2047.0,2014.8,3.0124,0.009,5,strong_price_momentum,pykrx,data/raw/price_352940_20260425_20260823.csv
241840,2026-08-21,2400.0,-0.0083,0.0169,0.039,2389.0,2324.75,2.5145,0.0105,5,strong_price_momentum,pykrx,data/raw/price_241840_20260425_20260823.csv
363280,2026-08-21,1933.0,-0.0057,0.0099,0.065,1928.8,1847.55,1.5991,0.0142,5,strong_price_momentum,pykrx,data/raw/price_363280_20260425_20260823.csv
115480,2026-08-21,2280.0,0.0459,0.1856,0.2896,2160.4,1913.85,1.4723,0.038,4,strong_price_momentum,pykrx,data/raw/price_115480_20260425_20260823.csv
192820,2026-08-21,271000.0,0.0403,0.0884,0.5311,252800.0,213500.0,1.3211,0.0491,4,strong_price_momentum,pykrx,data/raw/price_192820_20260425_20260823.csv
028260,2026-08-21,395500.0,0.0575,0.0836,0.0986,370900.0,342225.0,1.2296,0.066,4,strong_price_momentum,pykrx,data/raw/price_028260_20260425_20260823.csv
013720,2026-08-21,2375.0,-0.0063,0.0556,0.131,2315.0,2186.05,0.2628,0.0636,4,strong_price_momentum,pykrx,data/raw/price_013720_20260425_20260823.csv
368970,2026-08-21,2395.0,0.0084,0.0481,0.1037,2329.0,2281.0,0.4566,0.0259,4,strong_price_momentum,pykrx,data/raw/price_368970_20260425_20260823.csv
215480,2026-08-21,2210.0,0.0161,0.0255,0.1083,2147.0,2013.2,0.6622,0.0313,4,strong_price_momentum,pykrx,data/raw/price_215480_20260425_20260823.csv
025980,2026-08-21,5510.0,0.0556,0.4092,0.4615,4906.0,4029.75,4.4773,0.0584,3,price_momentum,pykrx,data/raw/price_025980_20260425_20260823.csv
179530,2026-08-21,2560.0,0.024,0.3431,0.473,2447.0,2092.35,1.7743,0.0709,3,price_momentum,pykrx,data/raw/price_179530_20260425_20260823.csv
064800,2026-08-21,2725.0,0.0018,0.2793,0.3625,2533.0,2149.15,2.1456,0.0471,3,price_momentum,pykrx,data/raw/price_064800_20260425_20260823.csv
045390,2026-08-21,3240.0,0.0385,0.251,0.2731,3071.0,2638.0,2.1718,0.0533,3,price_momentum,pykrx,data/raw/price_045390_20260425_20260823.csv
216080,2026-08-21,5030.0,0.1671,0.1752,0.1458,4371.0,4326.75,5.4878,0.0475,3,price_momentum,pykrx,data/raw/price_216080_20260425_20260823.csv
