source_provider,query,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,attention_keyword_count,news_attention_score,news_risk_score,top_titles
google_news_rss,004380,5,1,1,3,0,0,6,3,"삼익THK, 친인척강창오 장내매수로 최대주주등 보통주 2000주 증가 - 디지털투데이 | [실적속보]삼익THK, 영업이익 6분기 연속 감소, 매출액은 전년동기 대비 -19%↓ (연결) - ThinkPool | 삼익THK, 심규석 보통주 1만3000주 장내매도 - 디지털투데이"
google_news_rss,005710,5,1,0,1,0,0,5,1,"[실적속보]대원산업, 3년 중 가장 낮은 영업이익, 매출액은 전년동기 대비 -13%↓ (연결) - ThinkPool | [MK 골든크로스 돌파종목 : 한화솔루션(125020) & 코이즈(005710)] - 매일경제 | VIP자산운용 “대원산업, 집중투표제 배제 시도…반대 의견 표명” [시그널] - 서울경제"
google_news_rss,008470,5,1,1,1,0,0,6,1,"부스타, 주당 1.0주 무상증자 결정 - 연합뉴스 | 부스타, 보통주 840만4800주 무상증자 결정 - 디지털투데이 | 김진영 상무, 부스타 주식 보유 증가 - 디지털투데이"
google_news_rss,008930,5,1,2,1,0,0,7,1,"한미사이언스, IP 경쟁력 인정 받았다…한지연 상무 지식재산청장 표창 - 뉴스1 | EPS 성장률이 중요하다고 생각하신다면, 한미사이언스(KRX:008930)가 좋은 투자 기회를 제공합니다. - simplywall.st | 한미약품그룹 경영권 다시 긴장…잇단 지분 이동 - 매일경제 마켓"
google_news_rss,009540,5,1,1,1,0,0,6,1,"네이버클라우드-HD한국조선해양, AI·클라우드 환경 구축 맞손 - 인포스탁데일리 | 한국조선해양(009540) - 매일경제 마켓 | 네이버클라우드-HD현대, 조선업 특화 AX 구축 맞손 - 서울경제"
google_news_rss,009810,5,1,1,2,0,0,6,2,플레이그램(009810) - 매일경제 마켓 | 플레이그램 (009810) - ThinkPool | [코스피·코스닥 전 거래일(10일) 주요공시] - 연합뉴스
google_news_rss,013520,5,1,1,2,0,0,6,2,"[실적속보]화승코퍼레이션, 올해 1Q 매출액 4214억(-0.7%) 영업이익 256억(-14%) (연결) - ThinkPool | 화승코퍼레이션, 최대주주등 지분 50.21%로 증가…친인척 장내매수 영향 - 디지털투데이 | 화승코퍼레이션, 최대주주등 보통주 6만115주 증가 - 디지털투데이"
google_news_rss,024720,5,1,0,3,0,1,7,3,"콜마홀딩스, 최대주주등 보통주 1만주 감소…이현수 장내매도 - 디지털투데이 | “신약클러스터도 못 살렸다”…매각 부인하던 우정바이오, 콜마에 경영권 넘긴다 - 팜이데일리 | 콜마홀딩스, 최대주주등 보유주식 5000주 감소 - 디지털투데이"
google_news_rss,036530,5,1,2,2,0,0,7,2,"대한민국 NO1 가치투자포털 - 아이투자 | SNT홀딩스(036530)저점 때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - ThinkPool | SNT홀딩스, 작년 영업이익 3천7억원…전년 대비 30.1% 증가 - 연합뉴스"
google_news_rss,038680,5,1,3,1,0,1,10,1,"특징주, 에스넷-네트워크통합 테마 상승세에 18.79% ↑ - 매일경제 마켓 | 에스넷, 씨이랩과 259억 규모 AI 컴퓨팅 활용기반 강화 사업 계약 - edaily.co.kr | 이상엽 전무, 에스넷 주식 5000주 증가 - 디지털투데이"
google_news_rss,040910,5,1,2,2,0,0,7,2,아이씨디 (040910) - ThinkPool | 아이씨디(040910) - 매일경제 마켓 | 아이씨디 수주공시 - FPD제조장비 295.7억원 (매출액대비 15.01 %) - 한국경제
google_news_rss,053580,5,1,2,2,0,0,7,2,"""금융 AI 전환 시스템 구축 속도""…웹케시, IBK 디지털뱅킹 수주 - 뉴스1 | [카드] 웹케시, 87억원 규모 'IBK 디지털뱅킹 리빌딩' 수주 - 네이트 | ""개발자 아니어도 AI 자동화""…쿠콘, 'AI 데이터 플랫폼' 전환 - 뉴스1"
google_news_rss,106240,5,1,1,3,0,0,6,3,"성진홀딩스, 자본 38억으로 파인테크닉스 인수 - 경제타임스 | 모든 학교에 전문 상담인력 배치 추진 - 한국교육신문 | 파인테크닉스, 9회차 전환사채 만기 전 9억8000만원 취득 - 디지털투데이"
google_news_rss,134790,5,1,1,2,0,0,6,2,"시디즈, 최대주주등 보통주 1048주 장내매수로 지분율 62.15% - 디지털투데이 | 시디즈 (134790) - ThinkPool | 크래프톤-시디즈, 성수동서 PUBG 모바일 팝업스토어 - 연합뉴스"
google_news_rss,159910,5,1,1,1,0,1,8,1,"삼성·SK, 올해 낸드에서 116조 수익…고성능 라인업 전환 - 딜사이트 | 에코글로우, 리브위드와 30억원 규모 ESG 캠페인 계약 체결 - 디지털투데이 | 케이엠제약, 상한가 진입.. +29.98% ↑ - 서울경제"
google_news_rss,215380,5,1,2,2,0,0,7,2,"로보인베스팅 골든크로스 돌파 종목 : 코츠테크놀로지(448710) & 우정바이오(215380) - Investing.com 한국어 | 우정바이오 (215380) - ThinkPool | 우정바이오, '콜마바이오텍'으로 사명 변경 - edaily.co.kr"
google_news_rss,230360,5,1,2,2,0,1,9,2,"대한민국 NO1 가치투자포털 - 아이투자 | 에코마케팅, InvestingPro의 저평가 시그널 후 64% 급등 By Investing.com - Investing.com 한국어 | [코스피·코스닥 전 거래일(3일) 주요공시] - 매일경제 마켓"
google_news_rss,322780,5,1,2,3,0,0,7,3,"코퍼스코리아, 75억원 유증…아티스트스튜디오 등에 3자 배정 - 매일경제 마켓 | 코퍼스코리아, 75억 규모 유상증자 결정 - 마켓인 | 오전 11:30 현재 코스닥은 43:57으로 매수우위, 매수강세 업종은 출판·매체복제업(0.20%↓) - 서울경제"
google_news_rss,340810,5,1,0,3,0,0,5,3,"씨유박스(340810) - 매일경제 마켓 | 시선AI, 10억원 유상증자…이에이치 파트너스에 제3자배정 - 연합뉴스 | [코스피·코스닥 전 거래일(3일) 주요공시] - 연합뉴스"
google_news_rss,그린생명과학,5,1,2,1,0,0,7,1,"그린생명과학 최대주주, 관악상사에서 그린케미칼로 변경 - 디지털투데이 | 그린생명과학 투자분석 2026. 07. 18 - 주달 | [IB토마토]그린생명과학, 의약품서 AI반도체로…매출 절반은 계열사 의존 - 뉴스토마토"
