source_provider,query,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,attention_keyword_count,news_attention_score,news_risk_score,top_titles
google_news_rss,005710,5,1,0,1,0,1,7,1,"대원산업, 애프터마켓서 12%대 급등 - 연합뉴스 | [실적속보]대원산업, 3년 중 가장 낮은 영업이익, 매출액은 전년동기 대비 -13%↓ (연결) - ThinkPool | [MK 골든크로스 돌파종목 : 한화솔루션(125020) & 코이즈(005710)] - 매일경제"
google_news_rss,008470,5,1,1,1,0,0,6,1,"부스타, 주당 1.0주 무상증자 결정 - 연합뉴스 | 부스타, 보통주 840만4800주 무상증자 결정 - 디지털투데이 | 김성훈 상무, 부스타 주식 보유 증가 - 디지털투데이"
google_news_rss,008930,5,1,3,1,0,0,8,1,"InvestingPro의 적정가치 분석, 한국 주식 50% 수익률 달성 By Investing.com - Investing.com 한국어 | EPS 성장률이 중요하다고 생각하신다면, 한미사이언스(KRX:008930)가 좋은 투자 기회를 제공합니다. - simplywall.st | 한미약품그룹 경영권 다시 긴장…잇단 지분 이동 - 매일경제 마켓"
google_news_rss,009540,5,1,4,2,0,0,9,2,"HD한국조선해양 'AI 조선소' 구축…지멘스와 차세대 플랫폼 계약 - 연합뉴스 | HD한국조선해양, '지속되는 자회사 실적 성장' 증권사 발표에 강세 - 매일경제 마켓 | AI조선소 짓고 美수송함 공동 개발…마스가 본궤도 - 서울경제"
google_news_rss,017670,5,1,0,2,0,0,5,2,"SK텔레콤(017670)저점을 줄때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - ThinkPool | [테크스냅] SKT, AI 프롬프트 공유 공모전 '모두의 프롬프트' 개최 - 연합뉴스 | SKT, 엔비디아 '오픈 시큐어 AI 얼라이언스' 창립 파트너 합류 - 뉴스1"
google_news_rss,018260,5,1,2,1,0,1,9,1,"삼성에스디에스(018260)밀릴때마다 물량 모아둘 기회로 보이며, 이후 전망 및 대응전략. - ThinkPool | 투자정보 - 매일경제 마켓 | 삼성SDS, 확실한 캡티브 AI 수요 바탕 10조원 투자 계획·글로벌 빅테크 협력 공고 -하나 - 인포스탁데일리"
google_news_rss,018470,5,1,3,2,0,1,10,2,"조일알미늄(018470)밀릴때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - ThinkPool | 대한민국 NO1 가치투자포털 - 아이투자 | 조일알미늄, 최대주주 이영호 등 주식 10만주 증가…친인척 이재섭 장내매수 - 디지털투데이"
google_news_rss,024720,5,1,0,3,0,0,5,3,"콜마홀딩스, 최대주주등 보통주 1만주 감소…이현수 장내매도 - 디지털투데이 | “신약클러스터도 못 살렸다”…매각 부인하던 우정바이오, 콜마에 경영권 넘긴다 - 팜이데일리 | 콜마홀딩스, 최대주주등 보유주식 5000주 감소 - 디지털투데이"
google_news_rss,038680,5,1,4,2,0,1,11,2,"에스넷시스템, 효성중공업·시스코와 디지털 변전소 기술 검증 - 이데일리TV | 특징주, 에스넷-네트워크통합 테마 상승세에 18.79% ↑ - 매일경제 마켓 | 에스넷 수주공시 - AI 컴퓨팅자원 활용기반 강화 사업 (NVIDIA Enterprise S/W 공급) 259.2억원 (매출액대비 5.67 %) - 네이트"
google_news_rss,053580,5,1,2,2,0,0,7,2,"웹케시, 87억 규모 IBK 디지털뱅킹 개편 사업 수주 - 서울경제 | 웹케시, AI 사업설명회 개최… 금융 AI 시장 본격 공략 - 한국AI부동산신문 | 웹케시, IBK 디지털뱅킹 리빌딩 수주…AI뱅킹 플랫폼 구축 나선다 - edaily.co.kr"
google_news_rss,089140,5,1,2,2,0,0,7,2,넥스턴앤롤코리아(089140)밀릴때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - ThinkPool | [코스피·코스닥 전 거래일(29일) 주요공시] - 매일경제 마켓 | [코스피·코스닥 전 거래일(29일) 주요공시] - 연합뉴스
