source_provider,query,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,attention_keyword_count,news_attention_score,news_risk_score,top_titles
google_news_rss,001470,5,1,1,4,1,0,6,6,"삼부토건, 유상증자…한국자산신탁 등에 3자 배정 - 매일경제 마켓 | 삼부토건, 유상증자…리빌드삼부홀딩스에 제3자배정 - 연합뉴스 | 삼부토건 최대주주 한국자산신탁으로 변경, 보통주 2426만2365주 19.64% - 디지털투데이"
google_news_rss,004780,5,1,0,3,1,0,5,5,"대륙제관, 불성실공시법인 지정 예고 - 디지털투데이 | 대륙제관(004780) - 매일경제 마켓 | 대림제지, 포장재주 저PER 1위... 5.24배 - 버핏연구소"
google_news_rss,008470,5,1,0,2,0,0,5,2,"부스타, 주당 1.0주 무상증자 결정 - 연합뉴스 | 부스타, 보통주 840만4800주 무상증자 결정 - 디지털투데이 | 부스타, 임원상여로 자기주식 13만4213주 처분 - 디지털투데이"
google_news_rss,008930,5,1,3,1,0,0,8,1,"한미사이언스 2분기 영업이익 591억원…70.9%↑ - 연합뉴스 | InvestingPro의 적정가치 분석, 한국 주식 50% 수익률 달성 By Investing.com - Investing.com 한국어 | '사업형 지주사' 한미사이언스, 2분기 영업익 71%↑(종합) - KB Think"
google_news_rss,018470,5,1,3,2,0,1,10,2,"조일알미늄(018470)밀릴때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - ThinkPool | 대한민국 NO1 가치투자포털 - 아이투자 | InvestingPro, 조일알미늄 48% 하락 21개월 전 미리 경고 By Investing.com - Investing.com 한국어"
google_news_rss,023440,5,1,0,4,1,0,5,6,"제이스코홀딩스, 25억 규모 전환사채 발행 결정 - edaily.co.kr | 제이스코홀딩스 (023440) - ThinkPool | [IB토마토]제이스코홀딩스, 최대주주 '페이퍼컴퍼니'로 바뀌나…주주 우려 확산 - 뉴스토마토"
google_news_rss,038530,5,1,0,2,0,1,7,2,"케이바이오랩스, 20억원 유상증자…미래아이앤지에 제3자배정 - 연합뉴스 | 케이바이오, 보통주 5대 1 주식병합 결정 - 디지털투데이 | 케이바이오컴퍼니, 주식병합에 따른 매매거래 정지…14일부터 - edaily.co.kr"
google_news_rss,052770,5,1,1,2,1,1,8,4,"거래소, 아이톡시 상장적격 실질심사 대상 여부 내달 10일까지 결정 - edaily.co.kr | 아이톡시, 불성실공시법인 지정 예고돼 - 디지털투데이 | [공시속보] 아이톡시, 투자경고종목 지정→단기 급등세에 투자주의 - 톱스타뉴스"
google_news_rss,066410,5,1,1,5,1,0,6,7,"로딩 중... 066410 | 관련 산업 - 데일리바이트(DAILY BYTE) | 버킷스튜디오, 200억원 유상증자…와비사비홀딩스에 제3자배정 - 연합뉴스 | 버킷스튜디오, 지난해 영업손실 61억원…적자 폭 축소 - 마켓인"
google_news_rss,114450,5,1,2,2,0,1,9,2,"강원특별자치도교육청교육연수원 6급 미래인재 양성과정 6기, 퍼실리테이터 과정 이수 및 자격 취득 - 시사줌뉴스 | [실적속보]그린생명과학, 3년 중 최고 매출 달성, 영업이익은 흑자전환 (개별) - ThinkPool | 한국표면처리공업협동조합 ‘안전보건 통합 구독형 시스템’ 구축 사업비 확보 - 중소기업뉴스"
