source_provider,query,provider_mix,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,rumor_noise_keyword_count,attention_keyword_count,news_attention_score,rumor_noise_score,news_risk_score,top_titles
google_news_rss,005710,google_news_rss,5,1,0,1,1,1,1,7,2,3,"대원산업, 애프터마켓서 12%대 급등 - 연합뉴스 | [실적속보]대원산업, 3년 중 가장 낮은 영업이익, 매출액은 전년동기 대비 -13%↓ (연결) - 씽크풀 AI | VIP자산운용 “대원산업, 집중투표제 배제 시도…반대 의견 표명” [시그널] - 서울경제"
google_news_rss,006060,google_news_rss,5,1,2,3,2,0,0,7,0,7,"거래량 증가 상위 20선 - 코스피 - 조선비즈 - Chosunbiz | 화승인더스트리, 지난해 당기순이익 96억9635만9000원…전년 대비 79.3% 감소 - 디지털투데이 | 화승인더 (006060) - 씽크풀 AI"
google_news_rss,006730,google_news_rss,5,1,4,1,1,1,2,11,2,3,"서부T&D(006730)저점을 줄때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | 서부T&D(006730)저점을 줄때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | [리포트 브리핑]서부T&D, '매력적인 사업 모델, 높아지는 투자 매력도' Not Rated - 키움증권 - 뉴스핌"
google_news_rss,009540,google_news_rss,5,1,3,2,2,0,0,8,0,6,"HD한국조선해양(009540)밀릴때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | HD한국조선해양, '다시 보자, HD현대삼호' 증권사 발표에 강세 - 매일경제 마켓 | [ET특징주]HD한국조선해양, 어닝 서프라이즈에 상승세 - 전자신문"
google_news_rss,013720,google_news_rss,5,1,0,2,2,1,1,7,2,6,"THE CUBE&, 상호 ‘청보’로 변경 - 디지털투데이 | THE CUBE&, 강태원 사외이사 신규 선임 - edaily.co.kr | 청보 (013720) - 씽크풀 AI"
google_news_rss,018260,google_news_rss,5,1,3,2,2,0,0,8,0,6,"[잠정실적]삼성에스디에스, 3년 중 최고 매출 달성, 영업이익은 전년동기 대비 0.7%↑ (연결) - 씽크풀 AI | 삼성SDS 2분기 영업이익 2천318억원…0.7%↑ - 연합뉴스 | 삼성SDS, 확실한 캡티브 AI 수요 바탕 10조원 투자 계획·글로벌 빅테크 협력 공고 -하나 - 인포스탁데일리"
google_news_rss,024720,google_news_rss,5,1,0,3,2,0,0,5,0,7,"콜마홀딩스, 최대주주등 보유주식 5000주 감소 - 디지털투데이 | “신약클러스터도 못 살렸다”…매각 부인하던 우정바이오, 콜마에 경영권 넘긴다 - 팜이데일리 | 콜마홀딩스, 화장품주 저PER 1위... 6.98배 - 버핏연구소"
google_news_rss,038530,google_news_rss,5,1,0,2,2,1,1,7,2,6,"케이바이오랩스(038530) - 매일경제 마켓 | 케이바이오, 보통주 5대 1 주식병합 결정 - 디지털투데이 | 케이바이오컴퍼니, 주식병합에 따른 매매거래 정지…14일부터 - edaily.co.kr"
google_news_rss,038680,google_news_rss,5,1,3,1,1,1,1,10,2,3,"특징주, 에스넷-네트워크통합 테마 상승세에 18.79% ↑ - 매일경제 마켓 | 에스넷, 씨이랩과 259억 규모 AI 컴퓨팅 활용기반 강화 사업 계약 - edaily.co.kr | 이상엽 전무, 에스넷 주식 5000주 증가 - 디지털투데이"
google_news_rss,039200,google_news_rss,5,1,2,2,2,1,1,9,2,6,"우리는 수익 성장률을 기준으로 종목 분석을 실시했으며, 오스코텍(KOSDAQ:039200)이 이를 가뿐히 통과했습니다. - simplywall.st | 오스코텍, 창업주 지분 상속 완료…아들 최대주주 - 연합뉴스 | '사상 첫 매출 1000억 눈앞' 오스코텍, 실적 안정화위한 묘수는? - 팜이데일리"
google_news_rss,040910,google_news_rss,5,1,2,2,2,1,1,9,2,6,아이씨디 수주공시 - FPD제조장비 295.7억원 (매출액대비 15.01 %) - hankyung.com | 아이씨디 (040910) - 씽크풀 AI | [생생한 주식쇼 생쇼] 유리기판 테마주 공략 및 단기 수익 전략 제시 / 아이씨디 (040910) - 매일경제TV
google_news_rss,053580,google_news_rss,5,1,2,2,2,0,0,7,0,6,"[실적속보]웹케시, 올해 1Q 매출액 178억(-8.1%) 영업이익 26.5억(-26%) (개별) - 씽크풀 AI | 웹케시, AI 사업설명회 개최… 금융 AI 시장 본격 공략 - press.theleader.kr | 웹케시, 87억원 규모 IBK뱅킹 리빌딩 계약 - 서울경제"
google_news_rss,071200,google_news_rss,5,1,2,1,1,0,0,7,0,3,"인피니트헬스케어, 법원서 '임시주총 적법성' 확인 - v.daum.net | 인피니트헬스케어 ""전자위임장 1심 미확정…항소심서 다툴 것"" - 네이트 | 미리캐피탈매니지먼트, 인피니트헬스케어 주식 등 보유 비율 1.96%p 상승 - 코메디닷컴"
google_news_rss,115480,google_news_rss,5,1,1,3,3,1,0,8,2,9,"씨유메디칼, 유럽 AED 원격관리 의무화 수혜 기대…성장 모멘텀 강화 전망 - 인포스탁데일리 | 씨유메디칼, AED 원격관리시스템 앞세워 응급의료 플랫폼 시장 공략 - 마켓인 | 씨유메디칼, AED 원격관리시스템 모빌리티 연계 검토 - 서울경제"
google_news_rss,144510,google_news_rss,5,1,2,2,2,2,2,11,4,6,"[종목상담]녹십자랩셀(144510) - 매일경제TV | 지씨셀, 애프터마켓서 11%대 급등 - 매일경제 마켓 | [생생한 주식쇼 생쇼] 지씨셀 (144510) 투자 포인트 요약 - 매일경제TV"
google_news_rss,330730,google_news_rss,5,1,2,2,2,1,1,9,2,6,"스톤브릿지벤처스, 3천250억원 AI 펀드 결성…AUM 1.7조 돌파 - 연합뉴스 | 특징주, 스톤브릿지벤처스-창투사 테마 상승세에 5.22% ↑ - 매일경제 마켓 | SBI·IBK캐피탈, 엔비알모션 상장에 '멀티플 3~4배' 시동 - ibtomato.com"
google_news_rss,332290,google_news_rss,5,1,2,2,1,1,0,9,2,4,"[특징주] 비료 관련주, 중동 긴장 재고조 공급망 우려에 상승(종합) - 매일경제 마켓 | 누보, 자사주 20만여주 소각 결정…'주주가치 제고' - edaily.co.kr | 누보, 임시주주총회 8월7일 개최 결의 - 디지털투데이"
google_news_rss,340570,google_news_rss,5,1,0,2,2,0,0,5,0,6,"티앤엘(340570)밀릴때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | 티앤엘, 주당 1.0주 무상증자 결정 - 연합뉴스 | 티앤엘, 794만주 무상증자 결정 - 마켓인"
google_news_rss,동아지질,google_news_rss,5,1,3,2,2,0,0,8,0,6,"동아지질 투자분석 2026. 08. 04 - 주달 | 동아지질 23일 거래정지…자사주 대규모 소각 - 머니투데이 - 머니투데이 | 크레센도PE, 동아지질 매각 티저레터 배포… 실적 반등에 엑시트 재도전 - 조선비즈 - Chosunbiz"
