source_provider,query,provider_mix,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,rumor_noise_keyword_count,attention_keyword_count,news_attention_score,rumor_noise_score,news_risk_score,top_titles
google_news_rss,002420,google_news_rss,5,1,1,2,2,0,0,6,0,6,"세기상사(002420) - 매일경제 마켓 | 세기상사(002420) - 씽크풀 AI | 데일리 증권 세기상사( 002420 ) , 오후 12시 05분 기준 및 종목관련 동향정보 - 데일리시큐"
google_news_rss,007570,google_news_rss,5,1,1,2,2,0,0,6,0,6,"일양약품, 中 분쟁 종결·검찰 무혐의로 신뢰 회복… 中 사업 재도약 시동 - 팜이데일리 | [실적속보]일양약품, 3년 중 가장 낮은 영업이익, 매출액도 증가세 주춤 (연결) - 씽크풀 AI | 일양약품 ""자회사 일양약품에 176억원 출자"" - 연합뉴스"
google_news_rss,007980,google_news_rss,5,1,1,2,2,1,1,8,2,6,"TP, 섬유,의류,신발,호화품주 고ROE+저PER+저PBR 1위 - 버핏연구소 | [MK 골든크로스 돌파종목 : TP(007980) & 고려신용정보(049720)] - 매일경제 마켓 | 류현 상무, TP 주식 1691주 증가 - 디지털투데이"
google_news_rss,018260,google_news_rss,5,1,2,1,1,0,0,7,0,3,"삼성에스디에스(018260)밀릴때마다 물량 모아둘 기회로 보이며, 이후 전망 및 대응전략. - 씽크풀 AI | [실적발표] 삼성에스디에스(018260) 2Q26 - 네이버 프리미엄콘텐츠 | 삼성SDS 2분기 영업이익 2천318억원…0.7%↑ - 연합뉴스"
google_news_rss,019570,google_news_rss,5,1,1,3,2,2,2,10,4,7,"특징주, 플루토스-창투사 테마 상승세에 17.24% ↑ - 매일경제 마켓 | 플루토스, 주식병합 거래정지→전자등록 변경 앞둬 - topstarnews.net | [거래량 상위 종목] 플루토스, 전일비 29.82% ↑... 현재가 431원 - 버핏연구소"
google_news_rss,024720,google_news_rss,5,1,0,3,2,0,0,5,0,7,"“신약클러스터도 못 살렸다”…매각 부인하던 우정바이오, 콜마에 경영권 넘긴다 - 팜이데일리 | 콜마홀딩스, 최대주주등 보유주식 5000주 감소 - 디지털투데이 | 콜마홀딩스, 화장품주 저PER 1위... 6.98배 - 버핏연구소"
google_news_rss,025980,google_news_rss,5,1,1,2,2,1,1,8,2,6,"[실적속보]아난티, 작년 4Q 매출액 656억(-6.7%) 영업이익 48.6억(+302%) (연결) - 씽크풀 AI | 19일 코스닥 시장 공매도 수량 상위 종목. 아난티, 우리기술 등 - 조선비즈 - Chosunbiz | AI주식상승확률분석 : 아난티(025980) 주가 전망과 상승확률 분석 - Investing.com 한국어"
google_news_rss,053580,google_news_rss,5,1,2,1,1,0,0,7,0,3,"""서울페이 글로벌 결제 허브로""…쿠콘·GLN 연동 22개국 확대 - 뉴스1 | [실적속보]웹케시, 올해 1Q 매출액 178억(-8.1%) 영업이익 26.5억(-26%) (개별) - 씽크풀 AI | 웹케시, AI 사업설명회 개최… 금융 AI 시장 본격 공략 - press.theleader.kr"
google_news_rss,084870,google_news_rss,5,1,2,2,2,1,1,9,2,6,"TBH글로벌, 상반기 영업익 27억…전년비 176%↑ - 서울경제 | [잠정실적]TBH글로벌, 올해 2Q 매출액 533억(+11%) 영업이익 35.9억(-4.3%) (연결) - 씽크풀 AI | TBH글로벌, '타임아웃' 런던 품평회 마무리 - edaily.co.kr"
google_news_rss,115480,google_news_rss,5,1,1,3,2,1,0,8,2,7,"씨유메디칼, 유럽 AED 원격관리 의무화 수혜 기대…성장 모멘텀 강화 전망 - 인포스탁데일리 | 씨유메디칼, AED 원격관리시스템 앞세워 응급의료 플랫폼 시장 공략 - marketin.edaily.co.kr | 씨유메디칼, AED 원격관리시스템 모빌리티 연계 검토 - 서울경제"
