source_provider,query,provider_mix,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,rumor_noise_keyword_count,attention_keyword_count,news_attention_score,rumor_noise_score,news_risk_score,top_titles
google_news_rss,000210,google_news_rss,5,1,0,1,1,0,0,5,0,3,"DL 2분기 영업이익 2천565억원…작년 동기 대비 256.1%↑ - 연합뉴스 | [리포트 브리핑]DL, 'NDR takeaways: 높아진 이익 창출력이 긍정적' Not Rated - 삼성증권 - 뉴스핌 | DL (000210) - 씽크풀 AI"
google_news_rss,004080,google_news_rss,5,1,2,1,1,0,0,7,0,3,"신흥 김상헌 이사, 소유 주식 수량 1만4769주 보고…소유 지분율 0.16% - 디지털투데이 | 이재민 이사, 신흥 주식 14만8466주 보유 보고 - 네이트 | 이재민 이사, 신흥 주식 1154주 추가 매수 - 디지털투데이"
google_news_rss,004780,google_news_rss,3,1,0,2,2,0,0,3,0,6,"대륙제관(004780) - 매일경제 마켓 | [실적속보]대륙제관, 3년 중 가장 낮은 영업이익, 매출액은 전년동기 대비 -0.2%↓ (개별) - 씽크풀 AI | ""안터져요"" 파열방지 의무화에 新국면 맞은 부탄가스 - 네이트"
google_news_rss,010400,google_news_rss,5,1,3,1,1,0,0,8,0,3,"우진아이엔에스, 오산세교2지구 소방시설공사 220억원 수주 - 디지털투데이 | 우진아이엔에스 수주공시 - 네이버 세종 데이터센터 2~3차 구축공사 기계설비공사 248.5억원 (매출액대비 15.11 %) - 모바일한경 | 이점식 부사장, 우진아이엔에스 주식 2만주 증가 - 네이트"
google_news_rss,016610,google_news_rss,5,1,3,2,2,0,0,8,0,6,"DB증권, 2026년 기업가치 제고 계획 이행현황 공시…고배당기업 해당 - 디지털투데이 | DB證 ‘ESG 경영’…유엔 ECOSOC 회의문서에 소개 - 서울경제 | DB증권, 대덕전자 목표주가↑…""신규 투자로 매출 큰 폭 늘 것"" - 연합뉴스"
google_news_rss,020560,google_news_rss,5,1,0,3,2,1,1,7,2,7,"아시아나항공, 日 고베 신규 취항…간사이 하늘길 넓힌다 - infostockdaily.co.kr | 아시아나항공, 인천~日 고베 신규 취항…매일 운항 - v.daum.net | 아시아나항공, 日 고베 신규 취항…간사이 하늘길 넓힌다 - 네이트"
google_news_rss,023760,google_news_rss,5,1,1,2,2,0,0,6,0,6,"한국캐피탈, 운용수익률 '톱'…조달비용 압박 뚫었다 - ibtomato.com | 한국캐피탈 등급 `A-`로 한단계↑ - 마켓인 | 한국캐피탈, 자금조달 속도 'UP'…이유는 - ibtomato.com"
google_news_rss,030210,google_news_rss,5,1,2,1,1,0,0,7,0,3,"코스콤, 현대차증권과 토큰증권 사업 협력 MOU - 연합뉴스 | 코스콤, 우리투자증권과 '토큰증권 플랫폼 사업 협력' MOU - 매일경제 마켓 | 설 이후 증시 주도 섹터는?…“반·바·차가 이끈다” - v.daum.net"
google_news_rss,036630,google_news_rss,5,1,2,2,2,1,1,9,2,6,"세종텔레콤, 280억원 유상증자…세종에 제3자배정 - 연합뉴스 | 세종텔레콤, 최대주주 280억 수혈…2거래일 연속 상한가 - 마켓인 | [표]7월 6일 시간외 상승 종목 및 최근 동향 - 씽크풀 AI"
google_news_rss,090370,google_news_rss,5,1,2,2,2,1,1,9,2,6,"특징주, 메타랩스-탈모 치료 테마 상승세에 5.71% ↑ - 매일경제 | 메타랩스, 자회사 메타에스앤씨 흡수합병…헬스케어 IT 경쟁력 강화 - v.daum.net | 메타랩스 ""자회사 메타케어 주식 60억원에 추가취득"" - 연합뉴스"
google_news_rss,123010,google_news_rss,5,1,0,4,4,0,0,5,0,12,"MSDI(123010) - 씽크풀 AI | 알엔티엑스, 200억원 제3자배정 유상증자 - 연합뉴스 | 알엔투테크놀로지, 아이윈플러스 인수 부담 안고 '본업 승부수' - ibtomato.com"
google_news_rss,234300,google_news_rss,5,1,1,2,2,0,0,6,0,6,"에스트래픽, 무임승차 차단으로 범죄 예방…북미 인프라 어워드 5관왕 - v.daum.net | 에스트래픽, 30억원 자사주 신탁계약…기업가치 제고 이행 - 서울경제 | 에스트래픽, 美 BART 차세대 개집표기로 북미 인프라 어워드 5관왕 - 네이트"
google_news_rss,340810,google_news_rss,5,1,0,2,2,1,1,7,2,6,"시선AI, 또다시 '영구 CB M&A'…무현금 확장 '무리수' 논란 - ibtomato.com | 시선AI, 대보디엑스 지분 51% 30억원에 인수 - 마켓인 | 시선AI, 상한가 진입.. +29.90% ↑ - 서울경제"
google_news_rss,363280,google_news_rss,5,1,1,2,2,0,0,6,0,6,"티와이홀딩스(363280) - 매일경제 마켓 | 티와이홀딩스 (363280) - 씽크풀 AI | 티와이홀딩스, 장중 신저가 기록.. 3,440→3,425(▼15) - 서울경제"
google_news_rss,368970,google_news_rss,5,1,0,1,1,0,0,5,0,3,"[코스피·코스닥 전 거래일(16일) 주요공시] - 연합뉴스 | [코스피·코스닥 전 거래일(4일) 주요공시] - 매일경제 마켓 | 오에스피, 주당 0.5주 무상증자 결정 - 연합뉴스"
google_news_rss,403550,google_news_rss,5,1,1,2,2,0,0,6,0,6,"쏘카, 기업 회원 요금제 개편…주중 10%·주말 3% 추가 할인 - 매일경제 마켓 | 쏘카, 기업용 카셰어링 요금제 개편…주중 10%·주말 3% 추가 할인 - infostockdaily.co.kr | 쏘카, 기업 회원 요금제 개편…업무 이동 상시 할인 강화 - 네이트"
google_news_rss,431190,google_news_rss,5,1,3,3,2,0,0,8,0,7,"케이쓰리아이(431190)밀릴때마다 물량 모아둘 기회로 보이며 이후 전망 및 대응전략. - 씽크풀 AI | 케이쓰리아이, 글로벌 기업 XR 기기 출시 맞춰 AI 에이전트 개발 - 서울경제 | 케이쓰리아이, 개인 맞춤형 AI 에이전트 기술 개발 과제 참여 - 네이트"
google_news_rss,대한항공,google_news_rss,5,1,1,2,2,1,1,8,2,6,"[단독] 대한항공, 아시아나 인천 T1 라운지 세 곳은 폐쇄하고 한 곳은 ‘스얼 라운지’로 운영키로 - 조선비즈 - Chosunbiz | [단독] 54조 보잉기 사는 대한항공…제주항공과 나란히 美수은 '노크' - 데일리안 | 대한항공, 태국 국영 방산업체 TAI와 항공 MRO 사업 협력 - 경기일보"
google_news_rss,유안타증권,google_news_rss,5,1,2,2,2,0,0,7,0,6,"유안타증권, 쿠팡이츠와 제휴 이벤트 진행 - 뉴스핌 | 유안타증권 평균급여 13위→3위…1년 새 두 배 뛴 까닭 - v.daum.net | 증시 호황에 성과급 ‘잭팟’…상반기 수령액 메리츠 1.65억·유안타 1.5억 - CEO스코어데일리"
google_news_rss,크레버스,google_news_rss,5,1,4,2,2,0,0,9,0,6,"김영화 회장, 크레버스 주식 1만3127주 ↑…지분율 17.28% - 데이터투자 | 크레버스 10%이상주주 김영화 회장, 소유 주식 수량 1만3127주 증가…소유 지분율 0.13%p 상승 - 디지털투데이 | [더벨]크레버스, 부채비율 개선 위해 세일즈앤리스백 추진 - 머니투데이 - 머니투데이"
