stock_code,candidate_date,candidate_action,prediction_direction,price_candidate_score,price_score_base,supplementary_score,signal_label,close,return_1d,return_5d,return_20d,volume_ratio_20d,volatility_20d,price_source,corp_name,event_type,social_attention_label,social_risk_label,source_file
002810,2026-07-16,BUY_CANDIDATE,positive,106.6,106.6,0,strong_price_momentum,21050.0,0.0702,0.1227,0.0369,1.8151,0.0241,unknown,삼영무역,merger,,,data/raw/price_002810_20260616_20260716.csv
465770,2026-07-16,BUY_CANDIDATE,positive,103.0,103.0,0,price_momentum,3185.0,-0.1484,0.6746,0.2766,5.9048,0.1211,pykrx,,,,,data/raw/price_465770_20260318_20260716.csv
054940,2026-07-16,BUY_CANDIDATE,positive,98.84,98.84,0,price_momentum,788.0,-0.0911,0.2449,0.2123,2.3066,0.0831,unknown,엑사이엔씨,spin_off,,,data/raw/price_054940_20260616_20260716.csv
119850,2026-07-16,BUY_CANDIDATE,positive,98.44,98.44,0,price_momentum,33950.0,0.0527,0.286,0.4729,2.2396,0.0804,pykrx,,,,,data/raw/price_119850_20260318_20260716.csv
012160,2026-07-16,BUY_CANDIDATE,positive,96.8,96.8,0,price_momentum,2395.0,0.1037,0.212,0.2739,1.9673,0.0868,pykrx,,,,,data/raw/price_012160_20260318_20260716.csv
011300,2026-07-16,BUY_CANDIDATE,positive,92.91,95.91,-3,price_momentum,2765.0,0.0036,0.106,0.1309,2.5164,0.0433,unknown,우성머티리얼스,paid_in_capital_increase,,,data/raw/price_011300_20260616_20260716.csv
419540,2026-07-16,BUY_CANDIDATE,positive,88.85,88.85,0,price_momentum,3410.0,0.0318,0.1,0.0757,1.8421,0.0399,pykrx,,,,,data/raw/price_419540_20260318_20260716.csv
080010,2026-07-16,BUY_CANDIDATE,positive,87.54,90.54,-3,strong_price_momentum,7300.0,-0.0068,0.0429,0.0815,1.3693,0.0204,unknown,이상네트웍스,disclosure_violation,,,data/raw/price_080010_20260616_20260716.csv
291230,2026-07-16,BUY_CANDIDATE,positive,83.23,83.23,0,price_momentum,641.0,-0.0615,0.5634,0.2794,1.0381,0.0869,pykrx,,,low_attention,no_risk_noise,data/raw/price_291230_20260318_20260716.csv
017940,2026-07-16,BUY_CANDIDATE,positive,82.7,82.7,0,strong_price_momentum,87100.0,0.0211,0.0481,0.0247,0.5135,0.0243,pykrx,,,,,data/raw/price_017940_20260318_20260716.csv
