stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_score_base,supplementary_score,signal_label,close,return_1d,return_5d,return_20d,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,source_file,candidate_rank,selected_pick,selection_reason
465770,2026-07-21,2026-07-21,2026-07-21,2026-07-21,BUY_CANDIDATE,positive,103.0,103.0,103.0,103.0,0,price_momentum,4510.0,0.0894,0.7756,1.027,4.8487,0.1336,pykrx,,,,,,data/raw/price_465770_20260323_20260721.csv,1,True,Top 20 by final price signal score
038680,2026-07-21,2026-07-21,2026-07-21,2026-07-21,BUY_CANDIDATE,positive,92.33,92.33,92.33,89.33,3,price_momentum,3420.0,0.0364,0.0209,0.0979,10.8779,0.0365,unknown,에스넷,에스넷,supply_contract,,,data/raw/price_038680_20260621_20260721.csv,2,True,Top 20 by final price signal score
354200,2026-07-21,2026-07-21,2026-07-21,2026-07-21,BUY_CANDIDATE,positive,85.47,85.47,85.47,85.47,0,price_momentum,1825.0,0.2999,0.4236,0.0094,4.7309,0.0978,pykrx,,,,,,data/raw/price_354200_20260323_20260721.csv,3,True,Top 20 by final price signal score
134790,2026-07-21,2026-07-21,2026-07-21,2026-07-21,BUY_CANDIDATE,positive,83.97,83.97,83.97,83.97,0,strong_price_momentum,19480.0,0.0109,0.0194,0.1234,0.4183,0.0265,unknown,시디즈,시디즈,major_shareholder_change,,,data/raw/price_134790_20260621_20260721.csv,4,True,Top 20 by final price signal score
012160,2026-07-21,2026-07-21,2026-07-21,2026-07-21,BUY_CANDIDATE,positive,78.95,78.95,78.95,78.95,0,price_momentum,2285.0,-0.0577,0.2285,0.2154,0.3245,0.0883,pykrx,,,,,,data/raw/price_012160_20260323_20260721.csv,5,True,Top 20 by final price signal score
036530,2026-07-21,2026-07-21,2026-07-21,2026-07-21,WATCHLIST,neutral_positive,69.81,69.81,69.81,66.81,3,price_momentum,51200.0,-0.0321,0.0385,0.025,0.7421,0.0274,unknown,SNT홀딩스,SNT홀딩스,supply_contract,,,data/raw/price_036530_20260621_20260721.csv,6,True,Top 20 by final price signal score
230360,2026-06-29,2026-06-29,2026-06-29,2026-07-21,HOLD,neutral,59.98,59.98,59.98,59.98,0,price_momentum,16000.0,0.0,0.0,0.0,0.0,0.0002,pykrx,,,,,,data/raw/price_230360_20260323_20260721.csv,7,True,Top 20 by final price signal score
005710,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,56.84,56.84,56.84,56.84,0,neutral,10450.0,0.0116,0.0245,0.0255,0.5135,0.0197,pykrx,,,,,,data/raw/price_005710_20260323_20260721.csv,8,True,Top 20 by final price signal score
033310,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,54.35,54.35,54.35,54.35,0,neutral,1318.0,0.0193,0.0131,0.0612,0.0902,0.0256,pykrx,,,,,,data/raw/price_033310_20260323_20260721.csv,9,True,Top 20 by final price signal score
290720,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,52.47,52.47,52.47,52.47,0,neutral,3030.0,-0.0082,-0.0516,0.2218,0.1091,0.0502,pykrx,,,,,,data/raw/price_290720_20260323_20260721.csv,10,True,Top 20 by final price signal score
008930,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,52.31,52.31,52.31,52.31,0,neutral,32050.0,-0.0138,-0.0317,0.1285,0.208,0.0419,pykrx,,,,,,data/raw/price_008930_20260323_20260721.csv,11,True,Top 20 by final price signal score
024720,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,51.92,51.92,51.92,51.92,0,neutral,8410.0,0.0145,-0.0175,0.0713,0.2646,0.0348,pykrx,,,,,,data/raw/price_024720_20260323_20260721.csv,12,True,Top 20 by final price signal score
368970,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,51.15,51.15,51.15,51.15,0,neutral,2195.0,-0.0373,-0.0309,0.2027,0.0406,0.0904,pykrx,,,,,,data/raw/price_368970_20260323_20260721.csv,13,True,Top 20 by final price signal score
018700,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,49.15,49.15,49.15,49.15,0,neutral,1195.0,-0.0871,-0.0591,0.1855,0.2981,0.0808,pykrx,,,,,,data/raw/price_018700_20260323_20260721.csv,14,True,Top 20 by final price signal score
084870,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,48.89,48.89,48.89,48.89,0,neutral,1894.0,-0.0042,-0.0312,0.0254,0.2754,0.0291,unknown,티비에이치글로벌,티비에이치글로벌,major_shareholder_change,low_attention,no_risk_noise,data/raw/price_084870_20260621_20260721.csv,15,True,Top 20 by final price signal score
055550,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,48.36,48.36,48.36,48.36,0,neutral,102800.0,0.0098,-0.0534,0.0544,0.3188,0.0293,pykrx,,,,,,data/raw/price_055550_20260323_20260721.csv,16,True,Top 20 by final price signal score
263800,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,48.1,48.1,48.1,48.1,0,neutral,5560.0,-0.0071,-0.093,0.2508,0.566,0.112,pykrx,,,,,,data/raw/price_263800_20260323_20260721.csv,17,True,Top 20 by final price signal score
058730,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,47.71,47.71,47.71,47.71,0,neutral,4400.0,0.0092,-0.0766,0.5043,0.2291,0.1439,pykrx,,,,,,data/raw/price_058730_20260323_20260721.csv,18,True,Top 20 by final price signal score
322780,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,47.08,47.08,47.08,47.08,0,neutral,2110.0,0.0193,-0.0276,0.1076,0.0764,0.1725,pykrx,,,,,,data/raw/price_322780_20260323_20260721.csv,19,True,Top 20 by final price signal score
088790,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,46.2,46.2,46.2,46.2,0,neutral,2365.0,-0.0227,-0.0444,0.0042,0.2763,0.0323,pykrx,,,,,,data/raw/price_088790_20260323_20260721.csv,20,True,Top 20 by final price signal score
040910,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,45.55,45.55,45.55,45.55,0,neutral,3955.0,-0.0088,0.0233,-0.1001,0.03,0.0395,pykrx,,,,,,data/raw/price_040910_20260323_20260721.csv,21,False,Broad evaluation pool candidate
065770,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,45.0,45.0,45.0,45.0,0,neutral,1583.0,-0.0258,-0.0174,0.0442,0.0888,0.128,pykrx,,,,,,data/raw/price_065770_20260323_20260721.csv,22,False,Broad evaluation pool candidate
001470,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,347.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_001470_20260323_20260721.csv,23,False,Broad evaluation pool candidate
023440,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,521.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_023440_20260323_20260721.csv,24,False,Broad evaluation pool candidate
052770,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,312.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_052770_20260323_20260721.csv,25,False,Broad evaluation pool candidate
068240,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,2530.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_068240_20260323_20260721.csv,26,False,Broad evaluation pool candidate
069460,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,2660.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_069460_20260323_20260721.csv,27,False,Broad evaluation pool candidate
183490,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,990.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_183490_20260323_20260721.csv,28,False,Broad evaluation pool candidate
210120,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,930.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_210120_20260323_20260721.csv,29,False,Broad evaluation pool candidate
380540,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,44.0,44.0,44.0,44.0,0,neutral,8450.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,,,data/raw/price_380540_20260323_20260721.csv,30,False,Broad evaluation pool candidate
000760,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,42.0,42.0,42.0,42.0,0,neutral,11900.0,0.0,-0.0674,0.0321,0.0,0.0486,pykrx,,,,,,data/raw/price_000760_20260323_20260721.csv,31,False,Broad evaluation pool candidate
296160,2026-07-21,2026-07-21,2026-07-21,2026-07-21,HOLD,neutral,40.47,40.47,40.47,40.47,0,neutral,2820.0,-0.0035,0.0071,-0.2145,0.0924,0.0279,pykrx,,,,,,data/raw/price_296160_20260323_20260721.csv,32,False,Broad evaluation pool candidate
288330,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,40.0,40.0,40.0,44.0,-4,neutral,416.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,,low_attention,risk_noise_detected,data/raw/price_288330_20260323_20260721.csv,33,False,Broad evaluation pool candidate
290560,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,39.77,39.77,39.77,39.77,0,neutral,1136.0,-0.0035,-0.0165,0.0412,0.0457,0.0491,pykrx,,,,,,data/raw/price_290560_20260323_20260721.csv,34,False,Broad evaluation pool candidate
020560,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,39.52,39.52,39.52,39.52,0,neutral,6890.0,0.0058,-0.0058,-0.0337,0.1102,0.0288,pykrx,,,,,,data/raw/price_020560_20260323_20260721.csv,35,False,Broad evaluation pool candidate
013520,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,39.41,39.41,39.41,39.41,0,neutral,2465.0,0.0165,-0.014,-0.014,0.0833,0.0299,pykrx,,,,,,data/raw/price_013520_20260323_20260721.csv,36,False,Broad evaluation pool candidate
224060,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,38.65,38.65,38.65,38.65,0,neutral,4400.0,-0.0276,-0.1682,0.1844,0.0711,0.0983,pykrx,,,,,,data/raw/price_224060_20260323_20260721.csv,37,False,Broad evaluation pool candidate
003490,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,38.54,38.54,38.54,38.54,0,neutral,25600.0,0.0099,-0.0097,-0.0536,0.2376,0.0324,pykrx,,,,,,data/raw/price_003490_20260323_20260721.csv,38,False,Broad evaluation pool candidate
007980,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,37.74,37.74,37.74,37.74,0,neutral,1665.0,-0.0072,-0.0348,-0.0381,0.2236,0.0222,pykrx,,,,,,data/raw/price_007980_20260323_20260721.csv,39,False,Broad evaluation pool candidate
115480,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,37.62,37.62,37.62,37.62,0,neutral,1744.0,-0.0051,-0.013,-0.0506,0.0666,0.0295,pykrx,,,,,,data/raw/price_115480_20260323_20260721.csv,40,False,Broad evaluation pool candidate
431190,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,37.34,37.34,37.34,37.34,0,neutral,2165.0,-0.0688,-0.0826,-0.1145,0.6324,0.0447,pykrx,,,,,,data/raw/price_431190_20260323_20260721.csv,41,False,Broad evaluation pool candidate
002020,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,37.03,37.03,37.03,37.03,0,price_weakness,23050.0,-0.2994,-0.4266,-0.5193,4.1727,0.0797,pykrx,,,,,,data/raw/price_002020_20260323_20260721.csv,42,False,Broad evaluation pool candidate
101970,2026-07-21,2026-07-21,2026-07-21,2026-07-21,AVOID,negative,37.0,37.0,37.0,37.0,0,neutral,9500.0,-0.0346,-0.0566,0.0304,0.4597,0.0562,pykrx,,,,,,data/raw/price_101970_20260323_20260721.csv,43,False,Broad evaluation pool candidate
