stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,v3_momentum_quality_score,v3_volume_quality_score,v3_liquidity_quality_score,v3_stability_score,v3_overextension_penalty,v3_reversal_penalty,v3_noise_penalty,v3_final_score,final_price_signal_score_v3,experimental_score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason,v3_rank,v3_selected_pick,v3_selection_reason
017810,2026-08-28,2026-08-28,2026-08-28,2026-08-28,BUY_CANDIDATE,positive,76.4,76.4,76.4,94.35,94.35,0,72.46,1.31,3,3.37,0.0,0.0,0.0,0.0,0,3,76.4,v2_conservative_ranker,57.0,8.0,6,12.79,0.0,0.0,0.0,83.78,83.78,v3_stability_ranker,strong_price_momentum,9830.0,0.0293,0.065,0.1417,9690.0,9313.5,1.2628,0.0281,pykrx,,,,,,,,,data/raw/price_017810_20260430_20260828.csv,1,True,Top 20 by conservative v2 price signal score,4,True,Experimental Top 20 by stability-first v3 score
024720,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,74.11,74.11,74.11,90.43,90.43,0,68.31,3.51,3,3.71,0.0,0.0,0.0,0.0,0,3,74.11,v2_conservative_ranker,57.0,8.0,6,8.37,0.66,0.0,0.0,78.7,78.7,v3_stability_ranker,price_momentum,10520.0,0.0489,0.0531,0.2106,10252.0,9931.5,1.7021,0.0309,pykrx,,,,,,,,,data/raw/price_024720_20260430_20260828.csv,2,True,Top 20 by conservative v2 price signal score,7,True,Experimental Top 20 by stability-first v3 score
020560,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,73.27,73.27,73.27,99.16,99.16,0,74.0,2.04,3,2.77,0.0,0.0,6.0,0.0,0,3,73.27,v2_conservative_ranker,57.0,8.0,6,13.54,0.0,0.0,12.2,72.33,72.33,v3_stability_ranker,strong_price_momentum,7680.0,0.0199,0.0987,0.1429,7386.0,7164.5,1.409,0.0231,pykrx,,,,,,8,4,2,data/raw/price_020560_20260430_20260828.csv,3,True,Top 20 by conservative v2 price signal score,16,True,Experimental Top 20 by stability-first v3 score
407400,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,71.74,71.74,71.74,98.38,98.38,0,75.0,-2.0,2,3.26,0.0,0.0,0.0,0.0,0,0,71.74,v2_conservative_ranker,45.69,-3.0,1,12.92,0.0,0.0,0.0,56.61,56.61,v3_stability_ranker,strong_price_momentum,2120.0,0.0168,0.1123,0.2574,2037.8,1977.2,0.6445,0.0272,pykrx,,,,,,,,,data/raw/price_407400_20260430_20260828.csv,4,True,Top 20 by conservative v2 price signal score,106,False,Broad evaluation pool candidate
012630,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,71.52,71.52,71.52,94.36,94.36,0,71.0,3.87,3,3.35,0.0,0.0,6.0,0.0,0,3,71.52,v2_conservative_ranker,57.0,8.0,6,12.81,0.0,0.0,11.9,71.91,71.91,v3_stability_ranker,price_momentum,22950.0,-0.0108,0.0851,0.2016,22390.0,21964.0,1.7737,0.0279,pykrx,,,,,,8,2,3,data/raw/price_012630_20260430_20260828.csv,5,True,Top 20 by conservative v2 price signal score,17,True,Experimental Top 20 by stability-first v3 score
023760,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,70.54,70.54,70.54,107.35,107.35,0,70.64,0.0,3,1.1,0.0,0.0,3.0,0.0,0,1,70.54,v2_conservative_ranker,57.0,-9.0,4,15.62,0.0,0.0,4.5,63.12,63.12,v3_stability_ranker,strong_price_momentum,1396.0,0.0007,0.0418,0.0418,1362.2,1345.55,9.9039,0.0092,pykrx,,,,,,3,1,1,data/raw/price_023760_20260430_20260828.csv,6,True,Top 20 by conservative v2 price signal score,70,False,Broad evaluation pool candidate
018260,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,70.32,70.32,70.32,93.41,93.41,0,72.48,0.0,2,4.16,0.0,0.0,0.0,0.0,0,0,70.32,v2_conservative_ranker,57.0,2.0,1,11.79,0.0,0.0,0.0,71.8,71.8,v3_stability_ranker,strong_price_momentum,240500.0,0.0278,0.0548,0.2104,231500.0,228075.0,0.8994,0.0347,pykrx,,,,,,,,,data/raw/price_018260_20260430_20260828.csv,7,True,Top 20 by conservative v2 price signal score,18,True,Experimental Top 20 by stability-first v3 score
250060,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,70.12,70.12,70.12,99.02,99.02,0,75.0,-2.0,2,4.64,0.24,0.0,0.0,0.0,0,0,70.12,v2_conservative_ranker,42.26,-3.0,1,11.2,4.5,0.0,0.0,46.96,46.96,v3_stability_ranker,strong_price_momentum,3090.0,0.03,0.1277,0.3553,2944.0,2855.5,0.6864,0.0387,pykrx,,,,,,,,,data/raw/price_250060_20260430_20260828.csv,8,True,Top 20 by conservative v2 price signal score,192,False,Broad evaluation pool candidate
009410,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,69.04,69.04,69.04,92.16,92.16,0,64.61,3.0,3,1.57,0.0,0.0,0.0,0.0,0,0,69.04,v2_conservative_ranker,57.0,-1.23,4,15.04,0.0,4.03,0.0,70.78,70.78,v3_stability_ranker,price_momentum,1689.0,0.0299,0.0569,0.055,1645.8,1627.9,2.8377,0.0131,pykrx,,,,,,,,,data/raw/price_009410_20260430_20260828.csv,9,True,Top 20 by conservative v2 price signal score,20,True,Experimental Top 20 by stability-first v3 score
203650,2026-08-28,2026-08-28,2026-08-28,2026-08-28,WATCHLIST,neutral_positive,68.08,68.08,68.08,96.95,96.95,0,68.17,3.0,3,5.02,1.08,0.0,0.0,0.0,0,0,68.08,v2_conservative_ranker,45.61,-1.66,4,10.73,4.69,0.0,0.0,53.99,53.99,v3_stability_ranker,price_momentum,2135.0,0.0071,0.0517,0.3739,2088.0,2032.9,2.9941,0.0418,pykrx,,,,,,,,,data/raw/price_203650_20260430_20260828.csv,10,True,Top 20 by conservative v2 price signal score,123,False,Broad evaluation pool candidate
