rule_group,rule_value,evaluated_count,success_count,failure_count,success_rate,baseline_success_rate,lift_vs_baseline,confidence_level,recommended_action,suspicious_flag,suspicious_reason,date_coverage_count
score_version,legacy_or_unknown,372,191,181,51.34,42.35,8.99,high,boost,False,,7
final_price_signal_score_v2,missing,372,191,181,51.34,42.35,8.99,high,boost,False,,7
overextension_penalty,missing,372,191,181,51.34,42.35,8.99,high,boost,False,,7
reversal_risk_penalty,missing,372,191,181,51.34,42.35,8.99,high,boost,False,,7
news_risk_penalty,missing,372,191,181,51.34,42.35,8.99,high,boost,False,,7
attention_noise_penalty,missing,372,191,181,51.34,42.35,8.99,high,boost,False,,7
volume_confirmation_score,missing,372,191,181,51.34,42.35,8.99,high,boost,False,,7
liquidity_score,missing,372,191,181,51.34,42.35,8.99,high,boost,False,,7
liquidity_score,confirmed,406,189,217,46.55,42.35,4.2,high,boost,False,,12
candidate_rank,top_10,94,53,41,56.38,42.35,14.03,low,boost,True,large_lift_with_under_100_cases,13
volume_confirmation_score,high,89,50,39,56.18,42.35,13.83,low,boost,True,large_lift_with_under_100_cases,11
candidate_rank,missing,298,160,138,53.69,42.35,11.34,medium,boost,False,,6
final_price_signal_score_v2,score_50_plus,112,60,52,53.57,42.35,11.22,medium,boost,False,,12
selected_pick,selected,114,61,53,53.51,42.35,11.16,medium,boost,False,,13
reversal_risk_penalty,high,195,101,94,51.79,42.35,9.44,medium,boost,True,boost_on_semantically_risky_bucket,12
overextension_penalty,high,154,77,77,50.0,42.35,7.65,medium,boost,True,boost_on_semantically_risky_bucket,12
news_risk_penalty,none,1282,501,781,39.08,42.35,-3.27,high,penalize,False,,12
candidate_rank,rank_101_plus,900,350,550,38.89,42.35,-3.46,high,penalize,False,,12
final_price_signal_score_v2,score_30_40,615,239,376,38.86,42.35,-3.49,high,penalize,False,,12
final_price_signal_score_v2,score_20_30,483,186,297,38.51,42.35,-3.84,high,penalize,False,,12
overextension_penalty,none,1102,424,678,38.48,42.35,-3.87,high,penalize,False,,12
candidate_rank,rank_51_100,377,140,237,37.14,42.35,-5.21,high,penalize,False,,10
reversal_risk_penalty,none,691,254,437,36.76,42.35,-5.59,high,penalize,False,,12
volume_confirmation_score,none,323,109,214,33.75,42.35,-8.6,high,penalize,False,,12
liquidity_score,none,70,3,67,4.29,42.35,-38.06,low,penalize,True,large_lift_with_under_100_cases,12
final_price_signal_score_v2,score_lt_20,144,55,89,38.19,42.35,-4.16,medium,penalize,False,,12
reversal_risk_penalty,low,210,77,133,36.67,42.35,-5.68,medium,penalize,False,,12
selected_pick,broad_pool,1612,670,942,41.56,42.35,-0.79,high,neutral,False,,19
volume_confirmation_score,negative,730,295,435,40.41,42.35,-1.94,high,neutral,False,,12
score_version,v2_conservative_ranker,1354,540,814,39.88,42.35,-2.47,high,neutral,False,,12
attention_noise_penalty,none,1294,514,780,39.72,42.35,-2.63,high,neutral,False,,12
liquidity_score,basic,878,348,530,39.64,42.35,-2.71,high,neutral,False,,12
attention_noise_penalty,high,55,24,31,43.64,42.35,1.29,low,neutral,False,,10
overextension_penalty,low,58,23,35,39.66,42.35,-2.69,low,neutral,False,,10
reversal_risk_penalty,medium,258,108,150,41.86,42.35,-0.49,medium,neutral,False,,12
volume_confirmation_score,moderate,212,86,126,40.57,42.35,-1.78,medium,neutral,False,,12
news_risk_penalty,high,2,2,0,100.0,42.35,57.65,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,2
news_risk_penalty,low,22,13,9,59.09,42.35,16.74,insufficient,watch,True,large_lift_with_under_100_cases,10
candidate_rank,rank_21_50,37,20,17,54.05,42.35,11.7,insufficient,watch,True,large_lift_with_under_100_cases,3
news_risk_penalty,medium,48,24,24,50.0,42.35,7.65,insufficient,watch,False,,12
attention_noise_penalty,low,4,2,2,50.0,42.35,7.65,insufficient,watch,False,,3
overextension_penalty,medium,40,16,24,40.0,42.35,-2.35,insufficient,watch,False,,9
candidate_rank,rank_11_20,20,8,12,40.0,42.35,-2.35,insufficient,watch,False,,4
attention_noise_penalty,medium,1,0,1,0.0,42.35,-42.35,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,1
