date,index_name,index_code,proxy_name,source_type,open,high,low,close,volume,trading_value
2026-07-02,KOSPI,069500,KODEX 200,etf_proxy,127308,130961,121705,123281,24287478,
2026-07-03,KOSPI,069500,KODEX 200,etf_proxy,124135,131500,118411,130746,25661288,
2026-07-06,KOSPI,069500,KODEX 200,etf_proxy,132493,134449,125746,129863,20457851,
2026-07-07,KOSPI,069500,KODEX 200,etf_proxy,127094,128436,118631,123461,23507024,
2026-07-08,KOSPI,069500,KODEX 200,etf_proxy,119733,125642,115327,116630,28957026,
2026-07-09,KOSPI,069500,KODEX 200,etf_proxy,121071,121834,113531,117463,25594810,
2026-07-10,KOSPI,069500,KODEX 200,etf_proxy,122004,124145,119389,120362,21979352,
2026-07-13,KOSPI,069500,KODEX 200,etf_proxy,119389,121061,107882,108601,28415169,
2026-07-14,KOSPI,069500,KODEX 200,etf_proxy,108601,111655,102578,109499,34057742,
2026-07-15,KOSPI,069500,KODEX 200,etf_proxy,116350,119230,115317,116500,21930762,
2026-07-16,KOSPI,069500,KODEX 200,etf_proxy,110896,111510,106929,108781,20144361,
2026-07-20,KOSPI,069500,KODEX 200,etf_proxy,104040,108731,102813,103885,24278285,
2026-07-21,KOSPI,069500,KODEX 200,etf_proxy,103596,109474,102249,107922,20671961,
2026-07-22,KOSPI,069500,KODEX 200,etf_proxy,113341,114768,108097,108097,18658794,
2026-07-23,KOSPI,069500,KODEX 200,etf_proxy,110996,113371,109928,113002,13497525,
2026-07-24,KOSPI,069500,KODEX 200,etf_proxy,111305,111460,105233,106151,17015254,
2026-07-27,KOSPI,069500,KODEX 200,etf_proxy,108581,108581,103781,107513,15645077,
2026-07-28,KOSPI,069500,KODEX 200,etf_proxy,101350,101695,94619,95482,21953857,
2026-07-29,KOSPI,069500,KODEX 200,etf_proxy,96420,98711,82543,89425,38980870,
2026-07-30,KOSPI,069500,KODEX 200,etf_proxy,89325,94300,86785,87635,40431123,
2026-07-31,KOSPI,069500,KODEX 200,etf_proxy,97905,110000,97475,108820,34727609,
2026-08-03,KOSPI,069500,KODEX 200,etf_proxy,101980,102000,98355,99105,27169695,
2026-08-04,KOSPI,069500,KODEX 200,etf_proxy,100720,101110,95720,100330,21430764,
2026-08-05,KOSPI,069500,KODEX 200,etf_proxy,105050,105660,103300,104300,18191398,
2026-08-06,KOSPI,069500,KODEX 200,etf_proxy,102060,103220,98030,98900,14845527,
2026-08-07,KOSPI,069500,KODEX 200,etf_proxy,99800,100880,96515,98090,14130664,
2026-08-10,KOSPI,069500,KODEX 200,etf_proxy,98835,100345,97260,98265,13128894,
2026-08-11,KOSPI,069500,KODEX 200,etf_proxy,97570,100350,96650,99265,14065397,
